id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,mean_delay_time_per_flight,orig_count_early_flights,mean_early_arrival_time,orig_count_delayed_flights,mean_arrival_delay_time,percent_early_flights,percent_delayed_flights,mean_early_arrival_time_per_flight,mean_arrival_delay_time_per_flight
164,JAC,Jackson Hole Airport,Jackson,WY,43.60732,-110.73773999999999,2.159078289838978,3669,0.0005884650558296479,2522,-15.565820777160983,1025,45.886829268292686,68.73807576996457,27.93676751158354,-0.4242524060278273,1.2506631035239217
165,JAN,Jackson-Evers International Airport,Jackson,MS,32.311170000000004,-90.07589,3.513116057233704,7751,0.0004532468142476718,4940,-13.1,2461,37.07070296627387,63.73371177912528,31.750741839762615,-0.169010450264482,0.47826993892754316
166,JAX,Jacksonville International Airport,Jacksonville,FL,30.494059999999998,-81.68786,3.2917650682821646,19750,0.00016667164902694505,12845,-12.101440249124172,6272,35.00637755102041,65.0379746835443,31.756962025316454,-0.06127311518543885,0.1772474812709894
167,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,40.63975,-73.77893,3.1818792282635933,101964,3.120590824470983e-05,62332,-18.211111467624978,35949,40.407438315391246,61.131379702640146,35.25656113922561,-0.017860334498082636,0.0396291223523903
168,JLN,Joplin Regional Airport,Joplin,MO,37.15181,-94.49826999999999,7.983988355167394,724,0.011027608225369329,402,-10.950248756218905,268,36.89179104477612,55.52486187845304,37.01657458563536,-1.5124652978202906,5.095551249278469
169,JMS,Jamestown Regional Airport,Jamestown,ND,46.92972,-98.6782,2.0488997555012225,887,0.002309920806653013,528,-16.515151515151516,276,37.666666666666664,59.52649379932357,31.116121758737318,-1.861911106555977,4.246523863209319
170,JNU,Juneau International Airport,Juneau,AK,58.35496,-134.57628,5.5512497133684935,4430,0.0012531037727694116,2510,-11.421115537848605,1751,30.197601370645344,56.659142212189614,39.52595936794582,-0.25781299182502493,0.6816614304886082
171,KOA,Kona International Airport at Keahole,Kailua/Kona,HI,19.738770000000002,-156.04563000000005,-0.3914128806789815,12081,-3.239904649275569e-05,7550,-10.801456953642385,3995,19.235794743429288,62.49482658720304,33.06845459812929,-0.08940863300755222,0.15922353069637687
172,KTN,Ketchikan International Airport,Ketchikan,AK,55.35556999999999,-131.71374,3.2533441426834213,2505,0.0012987401767199287,1459,-13.161754626456476,949,28.692307692307693,58.24351297405189,37.88423153692615,-0.525419346365528,1.1454015046829418
173,LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,42.7787,-84.58736,5.659237246161466,2071,0.0027326109348920647,1251,-12.096722621902478,727,36.53232462173315,60.405601158860456,35.10381458232738,-0.5841005611734659,1.7639944288620548
174,LAR,Laramie Regional Airport,Laramie,WY,41.31205,-105.67499,-4.332236842105263,634,-0.0068331811389672915,456,-16.56798245614035,142,34.65492957746479,71.92429022082018,22.397476340694006,-2.613246444186175,5.466077220420314
175,LAS,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,5.656050779059868,145747,3.880732213397098e-05,84460,-11.636265687899597,56831,31.6714997096655,57.94973481443871,38.9929123755549,-0.007983880071562088,0.021730464235741046
176,LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,34.56771,-98.41664,6.5040590405904055,1455,0.00447014367050887,886,-12.256207674943566,445,44.20674157303371,60.893470790378004,30.584192439862544,-0.8423510429514478,3.038264025638056
177,LAX,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,5.289751401529983,212175,2.4931077655378736e-05,118907,-12.343554206228397,85511,30.118733262387295,56.04194650642158,40.3021091080476,-0.00581762894131184,0.014195231889896215
178,LBB,Lubbock Preston Smith International Airport,Lubbock,TX,33.66364,-101.82278000000001,6.46441793500617,5047,0.0012808436566289223,3051,-9.383480825958703,1680,35.74940476190476,60.451753516940755,33.287101248266296,-0.18592195018741237,0.7083297951635579
179,LBE,Arnold Palmer Regional Airport,Latrobe,PA,40.27594000000001,-79.4048,7.203676470588236,1398,0.005152844399562401,828,-15.155797101449275,510,43.8156862745098,59.227467811158796,36.48068669527897,-1.0841056581866435,3.134169261409857
180,LCH,Lake Charles Regional Airport,Lake Charles,LA,30.1261,-93.2234,0.03763171098845961,2058,1.82855738525071e-05,1445,-13.355709342560553,514,37.69260700389105,70.21379980563654,24.9757045675413,-0.6489654685403573,1.8315163753105466
181,LEX,Blue Grass Airport,Lexington,KY,38.036970000000004,-84.60539,2.226973684210526,6566,0.00033916748160379626,4339,-13.78958285319198,1926,38.44755970924195,66.0828510508681,29.332927200731042,-0.21001496882716997,0.5855552803722502
182,LFT,Lafayette Regional Airport,Lafayette,LA,30.20528,-91.98765999999999,7.12656595431098,5580,0.0012771623574034015,3223,-11.584858827179646,2073,36.671972986010616,57.759856630824366,37.1505376344086,-0.20761395747633773,0.6572038169535953
183,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261,5.043357442317561,108195,4.661359066793808e-05,63015,-18.21713877648179,38778,43.03563876424777,58.24206294191045,35.84084292250104,-0.016837320371996662,0.03977599590022438
184,LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,33.81772,-118.15161,4.003175947491002,9520,0.00042050167515661783,5961,-11.071800033551417,3268,31.766523867809056,62.615546218487395,34.32773109243698,-0.11630042052049809,0.33368197340135564
185,LIH,Lihue Airport,Lihue,HI,21.97598,-159.33896000000001,-1.0581610206775187,11426,-9.2609926542755e-05,7324,-11.230748225013654,3688,19.042299349240782,64.09942237003325,32.27726238403641,-0.09829116248042757,0.16665761726974254
186,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,34.7294,-92.22425,5.26049968657652,11470,0.0004586311845315188,7042,-12.585629082646975,3914,37.65252938170669,61.394943330427196,34.12380122057541,-0.10972649592543135,0.32826965459203744
187,LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,40.850970000000004,-96.75925,4.08140350877193,2924,0.0013958288333693332,1807,-11.898173768677365,975,33.98153846153846,61.79890560875513,33.34473324213406,-0.40691428757446524,1.1621593181100704
188,LRD,Laredo International Airport,Laredo,TX,27.543740000000003,-99.46154,2.391566265060241,2405,0.0009944142474262957,1570,-12.37515923566879,706,35.392351274787536,65.28066528066529,29.35550935550936,-0.5145596355787438,1.4716154376211033
